bhk,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact
1,230,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1,300,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,1800,5 out of 5,Carpet Area,Hyderabad,Unfurnished,Family,3,Contact Owner
2,600,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,650,1 out of 2,Carpet Area,Kolkata,Unfurnished,Family,1,Contact Owner
2,1250,3 out of 7,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner
3,1350,1 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2,200,3 out of 3,Carpet Area,Hyderabad,Unfurnished,Family,2,Contact Owner
3,1956,1 out of 9,Super Area,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner
2,800,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2,1220,1 out of 6,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,400,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,720,5 out of 7,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,550,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,150,1 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,3,Contact Agent
2,800,1 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,450,2 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
2,1000,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
4,1600,2 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,4,Contact Owner
2,650,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
5,3500,2 out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,6,Contact Owner
2,500,1 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,800,1 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1350,8 out of 14,Super Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
2,800,1 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2,1140,2 out of 5,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner
1,300,1 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3,1146,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,700,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,1070,2 out of 5,Carpet Area,Hyderabad,Unfurnished,Family,2,Contact Owner
2,1125,2 out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2,1210,3 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2,650,Ground out of 1,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner
2,1250,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2,1600,1 out of 2,Super Area,Hyderabad,Unfurnished,Family,3,Contact Owner
5,4050,Ground out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,4,Contact Owner
2,90,Ground out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
3,1500,2 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2,1125,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
3,1100,1 out of 10,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,2300,1 out of 5,Carpet Area,Hyderabad,Furnished,Bachelors,3,Contact Agent
2,1000,2 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
3,1250,2 out of 8,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1800,5 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
2,1100,Ground out of 3,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2,1050,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1100,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1000,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1095,2 out of 2,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2,600,15 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,900,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,1100,4 out of 4,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent
2,900,1 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3,1100,1 out of 1,Super Area,Kolkata,Semi-Furnished,Family,2,Contact Owner
3,1400,4 out of 8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2,1500,Ground out of 1,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,630,3 out of 12,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,1100,3 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
1,550,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
3,1100,1 out of 2,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3,950,Ground out of 2,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Owner
2,1000,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3,1000,7 out of 18,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4,4800,11 out of 19,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
2,1000,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
3,900,Ground out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
4,272,Ground out of 4,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent
1,600,1 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
3,2000,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,850,Lower Basement out of 2,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner
1,413,5 out of 6,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
3,1200,1 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1500,2 out of 4,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2,1162,2 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,400,Ground out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2,900,1 out of 1,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent
2,800,Ground out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,2000,1 out of 1,Carpet Area,Chennai,Furnished,Bachelors/Family,3,Contact Owner
2,990,14 out of 30,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2,100,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Owner
3,919,8 out of 13,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,850,Ground out of 2,Carpet Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner
2,1100,2 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2,700,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
3,1300,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
3,1320,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2,1100,Ground out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2,600,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,850,2 out of 2,Super Area,Chennai,Unfurnished,Bachelors,2,Contact Owner
3,1800,18 out of 19,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2,850,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
3,1150,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2,500,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,500,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2,800,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,600,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
1,450,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,1200,1 out of 3,Carpet Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2,850,1 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
1,450,5 out of 7,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
1,400,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
1,300,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2,550,1 out of 2,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
1,48,1 out of 2,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,800,3 out of 3,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner
3,1100,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,1255,12 out of 17,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Owner
2,850,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
3,825,20 out of 22,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent
2,1300,2 out of 2,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1,444,8 out of 11,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1,710,1 out of 1,Super Area,Kolkata,Furnished,Bachelors,1,Contact Agent
3,1330,1 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
4,1500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2,850,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2,750,5 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
4,272,1 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,4,Contact Agent
2,1000,1 out of 5,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
1,200,Ground out of 5,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2,68,3 out of 5,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
4,2700,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,4,Contact Agent
2,700,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,1100,Ground out of 1,Carpet Area,Chennai,Semi-Furnished,Family,1,Contact Owner
1,433,2 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1,600,4 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,1800,1 out of 2,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Owner
1,600,5 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
1,450,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,1200,3 out of 6,Carpet Area,Bangalore,Furnished,Bachelors/Family,1,Contact Agent
1,424,16 out of 23,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,700,5 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,90,4 out of 5,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1300,1 out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent
2,1000,4 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
1,472,13 out of 14,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
2,600,1 out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2,1000,3 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
4,4000,Ground out of 3,Super Area,Kolkata,Furnished,Bachelors/Family,3,Contact Agent
3,1430,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,800,1 out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2,1105,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1200,1 out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,2430,4 out of 5,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2,700,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,450,Ground out of 1,Carpet Area,Chennai,Semi-Furnished,Family,1,Contact Owner
2,800,1 out of 5,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2,600,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,1000,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
3,1500,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
3,1320,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,90,2 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,600,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,600,5 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,700,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,800,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,900,4 out of 5,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
3,180,Ground out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,3,Contact Agent
2,1200,2 out of 5,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,850,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1050,14 out of 15,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,1650,1 out of 1,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Owner
1,300,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,1300,Ground out of 2,Carpet Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner
1,300,2 out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
5,1880,15 out of 31,Carpet Area,Mumbai,Furnished,Family,5,Contact Agent
2,850,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,500,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,1300,6 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1100,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2,1200,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,1350,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,500,1 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,1200,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,600,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
3,1550,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
3,1800,2 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
3,1600,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,500,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
4,2700,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,1650,2 out of 4,Carpet Area,Delhi,Furnished,Bachelors,2,Contact Agent
2,900,Ground out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
5,2308,17 out of 31,Carpet Area,Mumbai,Furnished,Family,5,Contact Agent
3,1110,9 out of 55,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
3,1110,49 out of 55,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1200,1 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,80,1 out of 5,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,700,Ground out of 4,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
1,600,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,1150,10 out of 12,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
1,390,Upper Basement out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,400,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
1,600,2 out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2,103,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,1200,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1100,3 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,600,1 out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
3,713,1 out of 1,Carpet Area,Delhi,Furnished,Bachelors/Family,3,Contact Owner
2,1200,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,1100,1 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,3,Contact Agent
3,150,1 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
3,200,3 out of 3,Carpet Area,Delhi,Unfurnished,Bachelors,3,Contact Agent
1,500,1 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,800,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3,1250,Ground out of 1,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,600,1 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,826,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,900,5 out of 19,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
3,1800,2 out of 12,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent
2,1100,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2,1100,1 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,450,Ground out of 2,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
3,100,3 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,550,2 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,360,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
3,300,1 out of 3,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent
2,1065,1 out of 2,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner
2,1000,3 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1,450,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,380,3 out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1,500,3 out of 4,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
3,1800,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,750,4 out of 13,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,1000,2 out of 3,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2,670,7 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Owner
2,700,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2,1000,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1100,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1600,2 out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent
1,890,4 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
3,1360,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,640,Ground out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2,500,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
4,3000,1 out of 2,Carpet Area,Chennai,Unfurnished,Bachelors,4,Contact Agent
1,400,2 out of 4,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner
3,1800,2 out of 4,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Agent
2,910,Ground out of 1,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,700,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,800,Ground out of 1,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2,720,8 out of 20,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,1200,4 out of 8,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
1,350,2 out of 3,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1,800,1 out of 1,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
1,400,3 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,1500,1 out of 1,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,870,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,3000,3 out of 5,Carpet Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2,650,3 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,2671,2 out of 14,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner
3,1500,1 out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
3,1800,2 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner
2,670,2 out of 4,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner
1,550,2 out of 2,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner
3,1300,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2,1200,2 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,650,3 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,1100,2 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
